ID;Genre;Senior;Enfants;Anciennete;Multi-lignes;Service Internet;Autres Services;Partenaire;Contrat;Facturation electronique;Mode de paiement;charges mensuelles;Charges totales;Desabonnement
44;Femme;0;Non;63;Oui;DSL;Oui;Non;Bisannuel;Oui;Carte bancaire;79,85;4861,45;Non
45;Femme;0;Non;13;Oui;DSL;Oui;Oui;Mensuel;Oui;Cheque electronique;76,2;981,45;Non
46;Femme;0;Non;49;Oui;Fibre optique;Oui;Non;Mensuel;Oui;Cheque electronique;84,5;3906,7;Non
47;Homme;0;Non;2;Non;DSL;Oui;Non;Mensuel;Non;Cheque papier;49,25;97;Non
49;Homme;0;Non;52;Oui;DSL;Oui;Non;Bisannuel;Oui;Carte bancaire;79,75;4217,8;Non
50;Femme;0;Oui;69;Oui;DSL;Oui;Oui;Bisannuel;Oui;Carte bancaire;64,15;4254,1;Non
51;Femme;1;Non;43;Oui;Fibre optique;Oui;Non;Mensuel;Oui;Cheque electronique;90,25;3838,75;Non
52;Femme;0;Non;15;Non;Fibre optique;Oui;Non;Mensuel;Oui;Carte bancaire;99,1;1426,4;Oui
53;Femme;1;Non;25;Oui;DSL;Oui;Oui;Mensuel;Oui;Carte bancaire;69,5;1752,65;Non
54;Femme;1;Non;8;Oui;Fibre optique;Oui;Oui;Mensuel;Oui;Carte bancaire;80,65;633,3;Oui
55;Femme;1;Oui;60;Non;DSL;Oui;Oui;Annuel;Oui;Carte bancaire;74,85;4456,35;Non
56;Homme;1;Non;18;Oui;Fibre optique;Oui;Non;Mensuel;Oui;Cheque electronique;95,45;1752,55;Oui
57;Femme;0;Oui;63;Oui;Fibre optique;Oui;Oui;Annuel;Oui;Carte bancaire;99,65;6311,2;Non
58;Homme;1;Oui;66;Oui;Fibre optique;Oui;Oui;Annuel;Oui;Cheque electronique;108,45;7076,35;Non
59;Femme;0;Oui;34;Oui;Non;Oui;Oui;Bisannuel;Non;Carte bancaire;24,95;894,3;Non
60;Femme;0;Non;72;Oui;Fibre optique;Oui;Non;Bisannuel;Oui;Carte bancaire;107,5;7853,7;Non
61;Femme;0;Non;47;Oui;Fibre optique;Oui;Oui;Mensuel;Oui;Cheque electronique;100,5;4707,1;Non
63;Homme;0;Non;72;Non;DSL;Non;Oui;Bisannuel;Non;Virement bancaire;42,1;2962;Non
64;Femme;0;Oui;18;Non;DSL;Oui;Oui;Annuel;Oui;Carte bancaire;54,4;957,1;Non
65;Femme;0;Non;9;Oui;Fibre optique;Oui;Non;Mensuel;Non;Cheque electronique;94,4;857,25;Oui
66;Femme;0;Non;3;Non;DSL;Oui;Non;Mensuel;Oui;Cheque electronique;75,3;244,1;Non
67;Homme;0;Non;47;Ouis;Fibre optique;Oui;Oui;Annuel;Oui;Cheque electronique;78,9;3650,35;Non
68;Femme;0;Non;31;Non;DSL;Oui;Non;Bisannuel;Non;Cheque papier;79,2;2497,2;Non
69;Femme;0;Oui;50;Non;Non;Oui;Oui;Bisannuel;Non;Virement bancaire;20,15;930,9;Non
70;Homme;0;Non;10;Non;Fibre optique;Oui;Non;Mensuel;Oui;Cheque papier;79,85;887,35;Non
71;Homme;0;Non;1;Non;DSL;Oui;Non;Mensuel;Non;Cheque papier;49,05;49,05;Non
72;Femme;0;Oui;52;Non;Non;Oui;Oui;Annuel;Oui;Cheque electronique;20,4;1090,65;Non
73;Homme;1;Oui;64;Oui;Fibre optique;Oui;Oui;Bisannuel;Oui;Virement bancaire;111,6;7099;Non
74;Homme;0;Oui;62;Oui;Non;Oui;Oui;Bisannuel;Oui;Virement bancaire;24,25;1424,6;Non
75;Femme;0;Oui;3;Non;DSL;Oui;Non;Mensuel;Oui;Virement bancaire;64,5;177,4;Non
76;Femme;1;Non;56;Oui;Fibre optique;Oui;Non;Annuel;Non;Cheque electronique;110,5;6139,5;Non
77;Femme;0;Non;46;Non;DSL;Oui;Non;Annuel;Non;Carte bancaire;55,65;2688,85;Non
78;Femme;0;Oui;8;Non;DSL;Oui;Oui;Mensuel;Non;Cheque papier;54,65;482,25;Non
79;Homme;1;Non;30;Non;DSL;Oui;Non;Mensuel;Oui;Cheque electronique;74,75;2111,3;Non
80;Femme;0;Oui;45;Oui;Non;Oui;Oui;Annuel;Oui;Carte bancaire;25,9;1216,6;Non
81;Femme;0;Oui;1;Non;Fibre optique;Oui;Non;Mensuel;Oui;Cheque electronique;79,35;79,35;Oui
82;Femme;0;Oui;11;Non;DSL;Non;Oui;Mensuel;Non;Cheque electronique;50,55;565,35;Non
83;Femme;0;Non;7;Non;Fibre optique;Oui;Oui;Mensuel;Oui;Virement bancaire;75,15;496,9;Oui
84;Femme;0;Non;42;Non;Fibre optique;Oui;Non;Mensuel;Oui;Virement bancaire;103,8;4327,5;Non
85;Femme;0;Non;49;Non;Non;Oui;Oui;Bisannuel;Oui;Virement bancaire;20,15;973,35;Non
87;Femme;0;Non;35;Non;DSL;Oui;Oui;Annuel;Oui;Virement bancaire;62,15;2215,45;Non
88;Femme;0;Oui;48;Non;Non;Oui;Oui;Bisannuel;Non;Virement bancaire;20,65;1057;Non
89;Femme;0;Oui;46;Non;Non;Oui;Oui;Bisannuel;Oui;Cheque papier;19,95;927,1;Non
92;Homme;1;Non;1;Non;Fibre optique;Oui;Non;Mensuel;Non;Cheque electronique;74,7;74,7;Non
93;Homme;0;Oui;66;Oui;DSL;Oui;Oui;Bisannuel;Oui;Cheque papier;84;5714,25;Non
94;Femme;0;Non;65;Oui;Fibre optique;Oui;Non;Mensuel;Oui;Carte bancaire;111,05;7107;Non
95;Homme;0;Non;72;Oui;Fibre optique;Oui;Non;Bisannuel;Oui;Virement bancaire;100,9;7459,05;Non
96;Femme;0;Non;12;Oui;Fibre optique;Oui;Non;Mensuel;Oui;Cheque electronique;78,95;927,35;Oui
97;Homme;0;Oui;71;Oui;DSL;Oui;Oui;Annuel;Oui;Carte bancaire;66,85;4748,7;Non
98;Homme;0;Non;5;Non;Non;Oui;Non;Mensuel;Non;Cheque papier;21,05;113,85;Oui
99;Homme;0;Non;52;Non;Non;Oui;Non;Bisannuel;Non;Virement bancaire;21;1107,2;Non
100;Femme;1;Non;25;Non;Fibre optique;Oui;Oui;Mensuel;Oui;Cheque electronique;98,5;2514,5;Oui
101;Homme;0;Non;1;Non;Non;Oui;Non;Mensuel;Non;Cheque papier;20,2;20,2;Non
102;Femme;0;Oui;1;Non;Non;Oui;Oui;Mensuel;Non;Cheque electronique;19,45;19,45;Non
103;Homme;0;Non;38;Oui;Fibre optique;Oui;Non;Annuel;Non;Virement bancaire;95;3605,6;Non
104;Femme;1;Non;66;Non;DSL;Non;Oui;Annuel;Non;Virement bancaire;45,55;3027,25;Non
105;Homme;0;Non;68;Oui;Fibre optique;Oui;Oui;Bisannuel;Oui;Virement bancaire;110;7611,85;Oui
106;Homme;0;Non;5;Non;DSL;Non;Non;Mensuel;Non;Cheque papier;24,3;100,2;Non
108;Femme;0;Non;32;Non;DSL;Non;Non;Annuel;Non;Cheque papier;30,15;927,65;Non
109;Homme;0;Non;43;Oui;Fibre optique;Oui;Non;Annuel;Non;Cheque papier;94,35;3921,3;Non
110;Homme;0;Oui;72;Non;Non;Oui;Oui;Bisannuel;Non;Carte bancaire;19,4;1363,25;Non
111;Homme;0;Non;55;Oui;Fibre optique;Oui;Oui;Mensuel;Oui;Cheque electronique;96,75;5238,9;Oui
112;Femme;0;Non;52;Non;DSL;Oui;Non;Annuel;Non;Carte bancaire;57,95;3042,25;Non
113;Femme;0;Non;43;Non;Fibre optique;Oui;Non;Mensuel;Oui;Cheque electronique;91,65;3954,1;Non
114;Femme;1;Non;37;Oui;Fibre optique;Oui;Oui;Mensuel;Oui;Cheque electronique;76,5;2868,15;Oui
117;Femme;0;Non;36;Non;DSL;Non;Non;Bisannuel;Non;Virement bancaire;31,05;1126,35;Non
118;Femme;0;Oui;10;Oui;Fibre optique;Oui;Oui;Mensuel;Oui;Cheque electronique;100,25;1064,65;Oui
120;Homme;0;Oui;27;Oui;Fibre optique;Oui;Oui;Mensuel;Oui;Carte bancaire;85,2;2151,6;Non
121;Femme;0;Oui;56;Oui;Fibre optique;Oui;Oui;Annuel;Oui;Carte bancaire;99,8;5515,45;Non
122;Femme;0;Non;6;Non;Non;Oui;Non;Mensuel;Non;Cheque papier;20,7;112,75;Non
123;Homme;0;Non;3;Oui;Fibre optique;Oui;Non;Mensuel;Oui;Cheque electronique;74,4;229,55;Oui
124;Femme;0;Oui;7;Non;DSL;Oui;Oui;Mensuel;Non;Cheque papier;50,7;350,35;Non
125;Femme;0;Oui;4;Non;Non;Oui;Oui;Mensuel;Non;Cheque papier;20,85;62,9;Non
128;Homme;0;Non;72;Oui;Non;Oui;Oui;Bisannuel;Oui;Virement bancaire;23,55;1723,95;Non
129;Homme;0;Non;1;Non;Non;Oui;Non;Mensuel;Non;Cheque papier;19,75;19,75;Non
130;Homme;1;Non;71;Non;DSL;Non;Non;Annuel;Oui;Cheque electronique;56,45;3985,35;Non
131;Femme;0;Non;13;Oui;Fibre optique;Oui;Non;Mensuel;Oui;Cheque electronique;85,95;1215,65;Non
132;Femme;0;Oui;25;Non;DSL;Non;Oui;Mensuel;Oui;Carte bancaire;58,6;1502,65;Oui
133;Homme;0;Non;67;Non;DSL;Oui;Non;Bisannuel;Non;Virement bancaire;50,55;3260,1;Non
134;Homme;0;Non;1;Non;DSL;Non;Non;Mensuel;Oui;Cheque electronique;35,45;35,45;Oui
135;Homme;0;Non;2;Non;DSL;Oui;Non;Mensuel;Non;Cheque electronique;44,35;81,25;Oui
137;Femme;0;Non;23;Non;Fibre optique;Oui;Non;Mensuel;Oui;Virement bancaire;75;1778,5;Non
138;Femme;0;Oui;64;Non;Non;Oui;Oui;Bisannuel;Non;Cheque papier;20,2;1277,75;Non
139;Homme;0;Oui;57;Non;Non;Oui;Non;Bisannuel;Oui;Cheque papier;19,6;1170,55;Non
140;Femme;1;Non;1;Non;Fibre optique;Oui;Oui;Mensuel;Oui;Cheque papier;70,45;70,45;Oui
142;Femme;0;Non;8;Oui;DSL;Oui;Non;Mensuel;Non;Cheque electronique;71,15;563,65;Oui
143;Femme;0;Non;61;Oui;Fibre optique;Oui;Oui;Bisannuel;Oui;Virement bancaire;101,05;5971,25;Non
145;Homme;1;Non;71;Oui;Non;Oui;Oui;Bisannuel;Non;Virement bancaire;23,95;1756,2;Non
146;Femme;0;Oui;65;Oui;Fibre optique;Oui;Oui;Bisannuel;Oui;Carte bancaire;99,05;6416,7;Non
147;Homme;0;Non;3;Non;Non;Oui;Non;Annuel;Non;Cheque papier;19,6;61,35;Non
148;Homme;0;Non;1;Non;DSL;Oui;Non;Mensuel;Oui;Cheque electronique;45,65;45,65;Oui
149;Homme;0;Oui;30;Non;DSL;Oui;Non;Annuel;Non;Carte bancaire;64,5;1929,95;Non
150;Homme;0;Oui;15;Non;DSL;Oui;Oui;Mensuel;Oui;Cheque papier;69,5;1071,4;Non
151;Femme;0;Oui;8;Non;DSL;Oui;Oui;Mensuel;Oui;Cheque electronique;68,55;564,35;Non
152;Homme;0;Non;7;Oui;Fibre optique;Oui;Non;Mensuel;Non;Cheque papier;95;655,5;Oui
153;Femme;0;Oui;70;Oui;Fibre optique;Oui;Oui;Annuel;Oui;Carte bancaire;108,15;7930,55;Non
154;Homme;0;Oui;62;Non;DSL;Oui;Oui;Bisannuel;Non;Cheque electronique;86,1;5215,25;Non
158;Homme;0;Oui;22;Non;Non;Oui;Oui;Annuel;Non;Cheque papier;20,15;419,9;Non
159;Homme;0;Oui;16;Non;DSL;Oui;Oui;Bisannuel;Non;Cheque papier;64,25;1024;Non
160;Homme;0;Non;10;Oui;Non;Oui;Non;Bisannuel;Non;Virement bancaire;25,7;251,6;Non
161;Femme;0;Oui;13;Non;DSL;Oui;Non;Mensuel;Oui;Cheque electronique;56;764,55;Non
162;Femme;0;Non;20;Oui;Fibre optique;Oui;Oui;Mensuel;Non;Cheque electronique;82,4;1592,35;Oui
164;Homme;0;Non;53;Oui;DSL;Oui;Non;Bisannuel;Oui;Virement bancaire;73,9;3958,25;Non
165;Femme;0;Oui;11;Non;Non;Oui;Oui;Annuel;Non;Cheque papier;20,6;233,9;Non
167;Femme;0;Non;4;Non;Fibre optique;Oui;Non;Mensuel;Oui;Virement bancaire;70,9;273;Oui
168;Homme;0;Non;72;Oui;DSL;Oui;Oui;Bisannuel;Oui;Virement bancaire;89,05;6254,45;Non
169;Homme;1;Non;58;Non;DSL;Non;Oui;Mensuel;Oui;Cheque electronique;45,3;2651,2;Oui
170;Femme;0;Oui;16;Non;Non;Oui;Oui;Mensuel;Non;Cheque electronique;20,4;321,4;Non
171;Homme;0;Non;43;Non;Fibre optique;Oui;Oui;Annuel;Oui;Virement bancaire;84,25;3539,25;Non
172;Femme;0;Non;2;Oui;Fibre optique;Oui;Oui;Mensuel;Oui;Cheque electronique;104,4;242,8;Oui
173;Homme;0;Non;14;Non;DSL;Oui;Oui;Bisannuel;Non;Cheque papier;81,95;1181,75;Non
174;Femme;0;Non;53;Non;Fibre optique;Oui;Oui;Annuel;Oui;Virement bancaire;94,85;5000,2;Oui
176;Femme;0;Non;34;Oui;Non;Oui;Oui;Mensuel;Non;Cheque electronique;24,7;780,2;Non
177;Femme;1;Non;15;Oui;Fibre optique;Oui;Non;Mensuel;Oui;Cheque papier;74,45;1145,7;Oui
178;Femme;1;Non;7;Non;Fibre optique;Oui;Non;Mensuel;Non;Virement bancaire;76,45;503,6;Oui
179;Femme;0;Oui;15;Oui;Fibre optique;Oui;Oui;Mensuel;Oui;Virement bancaire;105,35;1559,25;Non
180;Homme;0;Non;61;Non;Non;Oui;Oui;Annuel;Oui;Carte bancaire;20,55;1252;Non
182;Femme;0;Non;1;Non;DSL;Oui;Non;Mensuel;Non;Cheque papier;45,3;45,3;Non
183;Homme;0;Non;8;Oui;Fibre optique;Oui;Non;Mensuel;Non;Virement bancaire;84,5;662,65;Oui
184;Homme;0;Oui;33;Non;DSL;Oui;Oui;Annuel;Non;Carte bancaire;74,75;2453,3;Non
185;Femme;0;Non;13;Non;Fibre optique;Oui;Non;Mensuel;Oui;Cheque electronique;79,25;1111,65;Oui
187;Homme;0;Non;20;Non;DSL;Oui;Non;Mensuel;Oui;Cheque papier;51,8;1023,85;Non
188;Homme;0;Non;3;Non;DSL;Non;Non;Mensuel;Non;Cheque electronique;30,4;82,15;Non
189;Femme;0;Non;13;Non;Non;Oui;Non;Annuel;Non;Cheque electronique;19,65;244,8;Non
190;Femme;0;Non;40;Oui;DSL;Oui;Oui;Mensuel;Non;Carte bancaire;56,6;2379,1;Non
191;Homme;0;Oui;43;Oui;DSL;Oui;Oui;Annuel;Oui;Carte bancaire;71,9;3173,35;Non
192;Homme;0;Non;6;Non;Fibre optique;Oui;Oui;Mensuel;Oui;Cheque electronique;91;531;Oui
193;Femme;0;Oui;69;Non;Non;Oui;Oui;Bisannuel;Non;Virement bancaire;19,75;1375,4;Non
194;Femme;0;Oui;72;Oui;Fibre optique;Oui;Oui;Bisannuel;Non;Carte bancaire;109,7;8129,3;Non
195;Homme;0;Oui;59;Non;Non;Oui;Oui;Bisannuel;Non;Carte bancaire;19,3;1192,7;Non
196;Femme;0;Non;20;Non;Fibre optique;Oui;Oui;Mensuel;Oui;Cheque electronique;96,55;1901,65;Non
198;Homme;0;Non;59;Oui;Fibre optique;Oui;Non;Mensuel;Oui;Cheque electronique;111,35;6519,75;Non
199;Homme;0;Oui;72;Oui;Fibre optique;Oui;Oui;Bisannuel;Oui;Virement bancaire;112,25;8041,65;Non
200;Homme;0;Oui;1;Non;Non;Oui;Non;Mensuel;Non;Cheque papier;20,75;20,75;Non
201;Femme;0;Non;27;Non;Fibre optique;Oui;Oui;Annuel;Oui;Carte bancaire;101,9;2681,15;Non
202;Femme;0;Non;14;Non;Fibre optique;Oui;Non;Mensuel;Oui;Carte bancaire;80,05;1112,3;Non
203;Homme;0;Oui;71;Oui;Fibre optique;Oui;Oui;Bisannuel;Non;Cheque electronique;105,55;7405,5;Non
205;Homme;0;Non;44;Non;Fibre optique;Oui;Non;Mensuel;Non;Carte bancaire;68,85;2958,95;Non
207;Homme;0;Oui;72;Non;DSL;Non;Oui;Bisannuel;Oui;Carte bancaire;55,45;4179,2;Non
208;Homme;0;Non;1;Non;Fibre optique;Oui;Non;Mensuel;Non;Cheque electronique;79,9;79,9;Oui
209;Femme;0;Non;19;Non;Fibre optique;Oui;Non;Mensuel;Oui;Cheque electronique;106,6;1934,45;Oui
210;Homme;0;Non;64;Non;Fibre optique;Oui;Oui;Annuel;Oui;Carte bancaire;102,45;6654,1;Non
211;Homme;0;Non;2;Non;DSL;Oui;Non;Mensuel;Oui;Carte bancaire;46;84,5;Oui
212;Femme;0;Non;1;Non;DSL;Non;Non;Mensuel;Non;Cheque electronique;25,25;25,25;Non
214;Femme;0;Oui;29;Non;Non;Oui;Oui;Annuel;Non;Cheque electronique;20;540,05;Non
215;Homme;1;Non;23;Oui;Fibre optique;Oui;Oui;Mensuel;Non;Cheque electronique;86,8;1975,85;Non
216;Femme;0;Non;57;Non;DSL;Non;Oui;Mensuel;Oui;Virement bancaire;58,75;3437,45;Non
217;Homme;0;Oui;72;Non;DSL;Non;Oui;Bisannuel;Non;Carte bancaire;45,25;3139,8;Non
219;Homme;0;Oui;65;Oui;DSL;Oui;Oui;Bisannuel;Oui;Virement bancaire;84,2;5324,5;Non
220;Femme;0;Non;8;Non;Fibre optique;Oui;Non;Mensuel;Oui;Virement bancaire;80;624,6;Non
224;Homme;0;Non;4;Non;DSL;Oui;Oui;Mensuel;Non;Cheque papier;50,05;179,35;Oui
225;Femme;0;Non;12;Non;Non;Oui;Non;Annuel;Oui;Virement bancaire;19,35;219,35;Non
226;Homme;0;Non;24;Non;DSL;Non;Non;Annuel;Oui;Cheque papier;50,6;1288,75;Non
227;Femme;0;Oui;31;Non;DSL;Oui;Oui;Annuel;Oui;Cheque papier;81,15;2545,75;Non
228;Femme;0;Non;1;Non;DSL;Oui;Oui;Mensuel;Non;Cheque papier;55,2;55,2;Oui
229;Homme;0;Non;30;Oui;Fibre optique;Oui;Non;Mensuel;Oui;Carte bancaire;89,9;2723,15;Non
230;Femme;0;Oui;47;Oui;DSL;Oui;Oui;Bisannuel;Oui;Carte bancaire;85,3;4107,25;Non
231;Homme;0;Non;54;Oui;Fibre optique;Oui;Non;Bisannuel;Oui;Carte bancaire;108;5760,65;Non
233;Homme;0;Non;1;Non;Fibre optique;Oui;Non;Mensuel;Oui;Cheque papier;84,6;84,6;Oui
235;Femme;0;Non;29;Oui;Non;Oui;Non;Mensuel;Non;Cheque electronique;25,15;702;Non
237;Femme;0;Non;10;Non;DSL;Non;Non;Bisannuel;Oui;Cheque papier;29,6;299,05;Non
238;Homme;0;Non;18;Oui;Fibre optique;Oui;Oui;Mensuel;Oui;Cheque electronique;73,15;1305,95;Non
239;Femme;1;Non;11;Non;Fibre optique;Oui;Non;Mensuel;Oui;Cheque electronique;95;1120,3;Oui
240;Homme;0;Non;16;Non;Non;Oui;Non;Bisannuel;Non;Cheque papier;19,75;284,35;Non
241;Femme;0;Non;72;Oui;DSL;Oui;Non;Bisannuel;Non;Virement bancaire;86,6;6350,5;Non
242;Homme;0;Non;72;Oui;Fibre optique;Oui;Non;Bisannuel;Non;Virement bancaire;109,2;7878,3;Non
244;Femme;1;Non;65;Non;Fibre optique;Oui;Oui;Mensuel;Non;Cheque electronique;94,4;6126,15;Non
246;Homme;1;Non;4;Non;Fibre optique;Oui;Non;Mensuel;Non;Cheque electronique;75,35;273,4;Non
247;Homme;0;Non;41;Oui;DSL;Oui;Non;Annuel;Non;Cheque papier;65;2531,8;Non
248;Homme;1;Non;15;Non;Fibre optique;Oui;Non;Mensuel;Oui;Cheque electronique;74,4;1074,3;Oui
249;Homme;0;Non;1;Non;DSL;Oui;Non;Mensuel;Oui;Cheque papier;48,55;48,55;Oui
250;Homme;0;Non;42;Oui;Fibre optique;Oui;Non;Annuel;Oui;Cheque electronique;99;4298,45;Non
251;Femme;0;Non;51;Non;Fibre optique;Oui;Oui;Annuel;Oui;Cheque electronique;93,5;4619,55;Non
252;Femme;0;Oui;2;Non;Fibre optique;Oui;Oui;Mensuel;Non;Cheque electronique;70,4;147,15;Oui
253;Homme;1;Non;1;Non;DSL;Non;Oui;Mensuel;Non;Cheque electronique;40,2;40,2;Oui
254;Homme;0;Oui;32;Oui;DSL;Oui;Non;Annuel;Non;Carte bancaire;83,7;2633,3;Non
255;Homme;0;Non;10;Non;Non;Oui;Non;Mensuel;Oui;Cheque papier;19,85;193,05;Non
256;Femme;0;Oui;67;Non;DSL;Non;Oui;Bisannuel;Oui;Cheque electronique;59,55;4103,9;Non
257;Femme;0;Oui;61;Oui;Fibre optique;Oui;Oui;Bisannuel;Non;Carte bancaire;115,1;7008,15;Non
258;Homme;0;Non;50;Oui;Fibre optique;Oui;Non;Annuel;Non;Carte bancaire;114,35;5791,1;Non
259;Femme;0;Non;2;Non;DSL;Oui;Oui;Mensuel;Oui;Carte bancaire;44,6;80,55;Oui
260;Femme;1;Non;29;Non;DSL;Non;Oui;Mensuel;Oui;Cheque electronique;45;1228,65;Non
261;Homme;1;Non;3;Non;DSL;Non;Non;Mensuel;Oui;Cheque electronique;41,15;132,2;Oui
262;Homme;1;Non;13;Oui;Fibre optique;Oui;Non;Mensuel;Oui;Cheque electronique;106,9;1364,3;Oui
263;Homme;1;Non;57;Oui;Fibre optique;Oui;Oui;Mensuel;Oui;Cheque electronique;89,85;4925,35;Non
264;Femme;0;Non;31;Non;DSL;Non;Non;Bisannuel;Oui;Virement bancaire;49,85;1520,1;Non
265;Femme;0;Non;45;Oui;Fibre optique;Oui;Oui;Annuel;Non;Cheque papier;113,3;5032,25;Non
266;Femme;0;Oui;61;Oui;DSL;Oui;Oui;Bisannuel;Non;Cheque papier;88,1;5526,75;Non
267;Homme;0;Non;50;Oui;Non;Oui;Non;Bisannuel;Non;Virement bancaire;24,9;1195,25;Non
268;Femme;1;Non;19;Non;Fibre optique;Oui;Non;Mensuel;Oui;Cheque papier;105;2007,25;Non
269;Homme;0;Non;59;Non;Non;Oui;Non;Bisannuel;Non;Cheque papier;19,35;1099,6;Oui
270;Femme;0;Non;71;Oui;Non;Oui;Oui;Bisannuel;Oui;Carte bancaire;24,25;1732,95;Non
272;Homme;0;Non;57;Non;DSL;Oui;Oui;Bisannuel;Oui;Cheque electronique;59,75;3450,15;Non
273;Homme;0;Non;1;Non;DSL;Non;Non;Mensuel;Non;Virement bancaire;24,8;24,8;Oui
274;Homme;1;Non;20;Oui;Fibre optique;Oui;Oui;Mensuel;Non;Cheque electronique;107,05;2172,05;Non
275;Homme;0;Non;1;Non;Fibre optique;Oui;Non;Mensuel;Non;Cheque papier;70,6;70,6;Oui
276;Homme;0;Non;5;Oui;Fibre optique;Oui;Oui;Mensuel;Oui;Cheque electronique;85,4;401,1;Oui
277;Femme;0;Non;52;Oui;Fibre optique;Oui;Oui;Mensuel;Oui;Cheque electronique;105,05;5624,85;Oui
